H0AK00089,CRAWFORD, HARRY T JR,DEM,ANCHORAGE,AK,99504,C00466698,00
H0AK00097,COX, JOHN R.,REP,ANCHOR POINT,AK,99556,,00
H0AK01038,FISHER, SHELDON ALLRED,REP,ANCHORAGE,AK,99517,C00474783,01
H0AL00016,BOZEMAN, MARTHA RENEE,UNK,BIRMINGHAM,AL,35201,C00464040,07
H0AL01030,GOUNARES, PETER HUNTER,REP,ORANGE BEACH,AL,36561,C00459495,01
H0AL01048,WALTER, DAVID MARSH,CON,FOLEY,AL,36535,C00485938,01
H0AL02087,ROBY, MARTHA,REP,Montgomery,AL,36106,C00462143,02
H0AL02095,JOHN, ROBERT E JR,IND,MILLBROOK,AL,36054,,02
H0AL02103,BARBER, RICK JOE,REP,MONTGOMERY,AL,36117,C00471938,02
H0AL02111,BELL, STEPHANIE WOLFE,REP,MONTGOMERY,AL,36106,C00477638,02
H0AL02129,MCKINNEY, JOHN,REP,MONTGOMERY,AL,36111,,02
H0AL03184,SEGREST, STEPHEN GRAHAM,DEM,MONTGOMERY,AL,36106,C00481275,03
H0AL05049,CRAMER, ROBERT E "BUD" JR,DEM,HUNTSVILLE,AL,35804,C00239038,05
H0AL05155,PHILLIP, LESTER S,REP,MADISON,AL,35758,C00462481,05
H0AL05163,BROOKS, MO,REP,HUNTSVILLE,AL,35802,C00464149,05
H0AL05171,HOWIE, MITCHELL JOHN,DEM,HUNTSVILLE,AL,35801,C00476135,05
H0AL05189,SHEPARD, TAZEWELL,DEM,HUNTSVILLE,AL,35801,C00477026,05
H0AL05197,RABY, STEPHEN WALKER,DEM,TOREY,AL,35773,C00478297,05
H0AL06088,COOKE, STANLEY KYLE,REP,KIMBERLY,AL,35091,C00464222,06
H0AL06096,LAMBERT, PAUL ANTHONY,REP,MAYLENE,AL,35114,C00471466,06
H0AL07060,DAVIS, ARTUR  G,DEM,Birmingham,AL,35201,C00347872,07
H0AL07086,SEWELL, TERRI A.,DEM,Birmingham,AL,35201,C00458976,07
H0AL07094,HILLIARD, EARL FREDERICK JR,DEM,BIRMINGHAM,AL,35202,C00460410,07
H0AL07102,SMOOT, SHEILA,DEM,BIRMINGHAM,AL,35201,C00461038,07
H0AL07110,PERKINS, JAMES JR,DEM,SELMA,AL,36703,C00463158,07
H0AL07128,MOKOLO, PATRICIA EVANS,DEM,TUSCALOOSA,AL,35405,C00469338,07
H0AL07136,LANKSTER, FRANK,DEM,LINDEN,AL,36748,C00467357,07
H0AL07144,WALLER, MICHELE,REP,BIRMINGHAM,AL,35202,C00471235,07
H0AL07169,HENDRICKSON, CAROL FLORRIE,REP,TUSCALOOSA,AL,35404,C00481374,07
H0AL07177,CHAMBERLAIN, DONALD NORWOOD,REP,SELMA,AL,36701,C00482059,07
H0AL07185,SALTER, ROBERT CHRISTOPHER,REP,BIRMINGHAM,AL,35206,C00482091,07
H0AR01083,CRAWFORD, ERIC ALAN RICK,REP,JONESBORO,AR,72404,C00462374,01
H0AR01091,GREGORY, JAMES CHRISTOPHER,DEM,BLYTHEVILLE,AR,72315,C00472126,01
H0AR01109,CAUSEY, CHAD,DEM,JONESBORO,AR,72401,C00475384,01
H0AR01117,WOOLDRIDGE, TYMOTHE (TIM) LYNN,DEM,PARAGOULD,AR,72450,C00476432,01
H0AR01125,SMITH, PRINCELLA D,REP,WYNNE,AR,72396,C00480905,01
H0AR01133,COOK, DAVID RAY,DEM,WILLIFORD,AR,72482,C00477554,01
H0AR01141,BRYLES, STEVE MARK,DEM,Blytheville,AR,72316,C00477570,01
H0AR01158,HIGGINS, MICKEY VERNON,UNK,PARAGOULD,AR,72450,,01
H0AR01166,GREEN, TERRY GLENN,DEM,MOUNTAIN HOME,AR,72653,C00481515,01
H0AR01174,PONDER, BEN,DEM,MOUNTAIN HOME,AR,72654,C00478487,01
H0AR01182,ADLER, KEN,GRE,BATESVILLE,AR,72503,,01
H0AR02099,MEEKS, DAVID MARK EMERSON,REP,CONWAY,AR,72034,C00463752,02
H0AR02107,GRIFFIN, JOHN TIMOTHY,REP,Little Rock,AR,72217,C00468116,02
H0AR02115,WALLACE, SCOTT,REP,LITTLE ROCK,AR,72223,C00468934,02
H0AR02123,WILLS, ROBERT DALE JR,DEM,CONWAY,AR,72034,C00474700,02
H0AR02131,ELLIOTT, JOYCE ANN,DEM,LITTLE ROCK,AR,72204,C00475764,02
H0AR02149,ADAMS, JOHN,DEM,LITTLE ROCK,AR,72201,C00477380,02
H0AR02156,BOLING, DAVID ALAN,DEM,LITTLE ROCK,AR,72225,C00477315,02
H0AR02164,KENNEDY, PATRICK JOHNSON DORN,DEM,LITTLE ROCK,AR,72202,C00478628,02
H0AR02172,LEVI, LANCE,IND,LITTLE ROCK,AR,72225,,02
H0AR02180,KENNEDY, LEWIS,GRE,CONWAY,AR,72034,,02
H0AR03022,SKOCH, BERNARD KURT 'BERNIE',REP,ELKINS,AR,72727,,03
H0AR03030,WHITAKER, DAVID JEFFREY,DEM,FAYETTEVILLE,AR,72702,C00468033,03
H0AR03048,MADDOX, KURT E,REP,GRAVETTE,AR,72736,,03
H0AR03055,WOMACK, STEVE,REP,ROGERS,AR,72756,C00477745,03
H0AR03063,BLEDSOE, CECILE H,REP,ROGERS,AR,72756,C00478172,03
H0AR03071,MOORE, MIKE C,REP,HARRISON,AR,72601,C00477901,03
H0AR03089,LOWRY, STEVE MR.,REP,Fayetteville,AP,72703,C00480095,03
H0AR03097,MATAYO, DOUG,REP,SPRINGDALE,AR,72762,C00478727,03
H0AR04038,ROSS, MICHAEL AVERY,DEM,Prescott,AR,71857,C00345710,04
H0AR04061,GALLAS, GLENN EDWARD,REP,HOT SPRINGS,AR,71913,C00478222,04
H0AR04079,RANKIN, BETH ANNE,REP,MAGNOLIA,AR,71753,C00478636,04
H0AS00018,FALEOMAVAEGA, ENI,DEM,Washington,DC,20026,C00231092,00
H0AZ01184,FLAKE, JEFF MR.,REP,Mesa,AZ,85205,C00347260,06
H0AZ01259,GOSAR, PAUL ANTHONY ANTHONY,REP,FLAGSTAFF,AZ,86004,C00461806,01
H0AZ01267,BEAUCHAMP, BRADLEY DON,REP,GLOBE,AZ,85502,C00463885,01
H0AZ01275,BOWERS, RUSSELL WESLEY,REP,SUPERIOR,AZ,85173,C00467506,01
H0AZ01283,MEHTA, STEVE,REP,SHOW LOW,AZ,85901,C00474940,01
H0AZ01291,JARACZEWSKI, JOE,REP,COTTONWOOD,AZ,86326,C00475855,01
H0AZ01309,ZALESKI, THOMAS J,REP,SEDONA,AZ,86336,C00475871,01
H0AZ01317,JENSEN, JON RICHARD,REP,PRESCOTT VALLEY,AZ,86314,C00476424,01
H0AZ01325,TOBIN, ANDREW (ANDY),REP,PAULDEN,AZ,86334,,01
H0AZ01333,GRESSLEY, FORREST DAYL,REP,GILBERT,AZ,85296,C00481267,01
H0AZ01341,PATTI, NICOLE,LIB,CHANDLER,AZ,85248,,01
H0AZ02141,BLACK, CHARLES ROLAND,REP,KINGMAN,AZ,86401,C00474528,02
H0AZ02158,SCHALLENBERGER, STEVEN CRAIG,DEM,GLENDALE,AZ,85304,,02
H0AZ03305,HULBURD, JON,DEM,PHOENIX,AZ,85018,C00468686,03
H0AZ03313,WARING, JAMES F,REP,PHOENIX,AZ,85032,C00474197,03
H0AZ03321,PARKER, VERNON,REP,PARADISE VALLEY,AZ,85253,C00474916,03
H0AZ03339,GORMAN, PAMELA DIANE,REP,ANTHEM,AZ,85086,C00474056,03
H0AZ03347,CRUMP, SAMUEL TURRENTINE SR,REP,ANTHEM,AZ,85086,C00475442,03
H0AZ03354,MORRIS, PAULINA VASQUEZ,REP,PHOENIX,AZ,85001,C00475806,03
H0AZ03362,QUAYLE, BEN,REP,PARADISE VALLEY,AZ,85253,C00475863,03
H0AZ03370,HULL, LEANN,REP,PHOENIX,AZ,85086,,03
H0AZ03388,BRANCH, ROBERT ALLEN,REP,PHOENIX,AZ,85053,C00478156,03
H0AZ03396,MOAK, STEVEN CARL,REP,PARADISE VALLEY,AZ,85253,C00478453,03
H0AZ03404,SCOTT, BRIAN ALAN,IND,PHOENIX,AZ,85053,C00478735,03
H0AZ03412,BAKER, SCOTT,REP,PHOENIX,AZ,85022,C00480053,03
H0AZ03420,CHARLES, ROBERT LINCOLN,REP,PHOENIX,AZ,85068,C00480426,03
H0AZ03438,CLARK, LEONARD,GRE,PHOENIX,AZ,85027,,03
H0AZ03446,ADAIR, CLAY,LIB,PHOENIX,AZ,85053,,03
H0AZ04485,HILL, BRIAN,IND,PHOENIX,AZ,85005,C00472068,04
H0AZ04493,CONTRERAS, JANET L,REP,PHOENIX,AZ,85041,C00474007,04
H0AZ04501,PENALOSA, JOE,REP,SCOTTSDALE,AZ,85260,C00485995,04
H0AZ05078,WARD, JIM,REP,SCOTTSDALE,AZ,85255,C00462432,05
H0AZ05086,WNUCK, ERIC,REP,SCOTTSDALE,AZ,85260,C00468694,05
H0AZ05094,SMITH, JEFFREY W,REP,GILBERT,AZ,85234,C00471730,06
H0AZ05102,SALVINO, CHRIS,REP,SCOTTSDALE,AZ,85255,C00471912,05
H0AZ05110,SPINKS, MARK VINCENT,REP,PHOENIX,AZ,85045,C00474866,05
H0AZ05128,HILL, JONATHON RYAN,REP,TEMPE,AZ,85281,C00481028,05
H0AZ05136,COONS, NICK,LIB,TEMPE,AZ,85285,,05
H0AZ05144,BLACKMAN, RYAN,GRE,SCOTTSDALE,AZ,85257,,05
H0AZ06043,KELSEY, EASTON CLINT,REP,GILBERT,AZ,85297,C00472746,06
H0AZ06050,TAPP, DARELL,LIB,GILBERT,AZ,85296,,06
H0AZ07017,MCCLUNG, RUTH CRAWFORD,REP,TUCSON,AZ,85745,C00462309,07
H0AZ07025,MYERS, TERRY LON,REP,TUCSON,AZ,85745,C00481069,07
H0AZ07033,FLOWERS, CHRISTOPHER JOHN,REP,TOLLESON,AZ,85353,,07
H0AZ07041,SWEENEY, JOSEPH DUDLEY,REP,TUCSON,AZ,85705,,07
H0AZ07058,WILSON, ROBERT,REP,MARICOPA,AZ,85138,,07
H0AZ07066,IBARRA, ANDREW,LIB,RIO RICO,AZ,85648,,07
H0AZ07074,KEANE, GEORGE,LIB,TUCSON,AZ,85757,,07
H0AZ08015,KELLY, JESSE,REP,TUCSON,AZ,85743,C00460808,08
H0AZ08023,GOSS, VINCENT ANDREW,REP,SIERRA VISTA,AZ,85635,C00461780,08
H0AZ08031,MILLER, BRIAN ALLAN,REP,TUCSON,AZ,85708,C00462721,08
H0AZ08049,CARLSON, THOMAS A JR,REP,TUCSON,AZ,85742,C00470732,08
H0AZ08056,PATON, JONATHAN,REP,TUCSON,AZ,85704,C00474270,08
H0AZ08064,STOLTZ, STEVEN,LIB,TUCSON,AZ,85739,,08
